M,N,K,wave_tflops,triton_tflops,torch_tflops
5120,2048,8192,449.7348,460.9328,570.0353
5120,2048,13824,400.9824,456.0396,597.0711
5120,3072,640,223.6962,389.6371,355.5347
5120,3072,1280,332.7712,442.613,412.6117
5120,3072,1728,402.6532,495.1567,508.8108
5120,3072,2560,442.476,502.5595,469.5902
5120,3072,3456,581.3709,560.5626,565.3009
5120,3072,5120,542.2939,544.8766,467.2339
5120,3072,6912,581.3709,568.2699,544.5393
5120,3072,8192,681.7408,599.0725,517.51
5120,3072,13824,638.5689,561.0103,554.8537
5120,4096,640,250.8743,287.2876,382.9933
5120,4096,1280,337.6547,328.0955,412.7938
5120,4096,1728,411.8044,373.9618,516.1911
5120,4096,2560,440.0581,377.2237,455.6144
5120,4096,3456,517.697,414.7343,490.6878
5120,4096,5120,505.2903,393.8322,481.9572
5120,4096,6912,517.697,403.1579,530.1117
5120,4096,8192,628.1488,425.073,564.4622
5120,4096,13824,499.8453,404.8574,545.5156
5120,5120,640,305.0403,350.5431,384.2803
5120,5120,1280,414.2522,396.3937,472.4417
5120,5120,1728,506.1283,455.769,530.8881
5120,5120,2560,545.6005,441.9005,511.6742
5120,5120,3456,658.887,503.0096,554.6347
5120,5120,5120,636.103,474.6909,542.601
5120,5120,6912,674.8377,480.4505,589.2669
5120,5120,8192,766.9584,496.5436,611.9007
5120,5120,13824,532.9233,474.3195,582.9844
5120,6144,640,314.5728,398.5925,407.2125
5120,6144,1280,417.2572,454.6369,431.0883
5120,6144,1728,494.1653,517.2379,485.4979
5120,6144,2560,531.5554,515.3065,478.6455
5120,6144,3456,645.2009,569.5971,557.3323
5120,6144,5120,603.2257,555.3676,465.9964
5120,6144,6912,618.5853,567.3284,527.1912
5120,6144,8192,722.8556,542.2209,485.7025
5120,6144,13824,477.8741,525.4364,504.5615
5120,7168,640,358.597,430.4453,448.5534
5120,7168,1280,458.3044,492.2239,462.0081
5120,7168,1728,581.8154,551.591,501.0091
5120,7168,2560,574.6325,556.5394,500.6263
5120,7168,3456,710.5644,617.4611,582.2176
5120,7168,5120,619.1263,607.6087,562.6557
5120,7168,6912,651.2747,584.7101,597.2868
5120,7168,8192,799.595,575.258,634.2858
5120,7168,13824,545.5301,583.4134,548.1057
5120,8192,640,348.6175,347.5476,474.8254
5120,8192,1280,460.8334,404.7693,476.2722
5120,8192,1728,553.2639,465.2284,565.1593
5120,8192,2560,574.1935,461.5877,579.3078
5120,8192,3456,685.3671,526.8912,557.849
5120,8192,5120,650.7526,491.0007,573.4855
5120,8192,6912,669.5388,506.7388,603.821
5120,8192,8192,755.9898,538.4463,641.632
5120,8192,13824,499.8453,457.95,603.3817
5120,9216,640,397.3551,386.4631,359.4318
5120,9216,1280,493.0447,452.9385,432.9813
5120,9216,1728,629.6314,521.012,495.4339
5120,9216,2560,587.8149,516.1758,500.6727
5120,9216,3456,742.9364,576.5351,562.5526
5120,9216,5120,646.8324,533.1062,532.1382
5120,9216,6912,633.2992,540.874,551.1185
5120,9216,8192,788.8715,554.0924,557.7438
5120,9216,13824,532.4883,506.8621,521.7284
5120,10240,640,394.758,411.3622,437.4019
5120,10240,1280,534.732,484.5803,420.0484
5120,10240,1728,616.3059,534.3503,520.0764
5120,10240,2560,621.3784,549.4039,442.9907
5120,10240,3456,717.5997,604.3238,566.6433
5120,10240,5120,685.6589,540.5358,444.7026
5120,10240,6912,671.0886,554.5451,588.68
5120,10240,8192,727.9606,558.4186,623.8566
5120,10240,13824,503.3165,552.3002,570.4289
5120,11264,640,426.7038,434.9648,421.255
5120,11264,1280,505.6147,507.8533,446.4678
5120,11264,1728,662.1705,568.7436,512.2884
5120,11264,2560,606.3224,574.8796,494.9593
5120,11264,3456,768.0668,622.0723,579.2953
5120,11264,5120,722.8372,576.4607,471.6869
5120,11264,6912,581.9367,588.7421,538.5023
5120,11264,8192,749.9149,592.5817,391.9539
5120,11264,13824,499.8453,590.3163,445.1639
5120,12288,640,423.8455,386.1226,402.787
5120,12288,1280,536.8709,453.3424,473.1983
5120,12288,1728,639.508,518.488,525.1357
5120,12288,2560,637.8664,511.6263,531.4067
5120,12288,3456,739.5671,572.2875,537.3453
5120,12288,5120,607.7784,527.6527,553.9553
5120,12288,6912,612.4865,522.0905,541.1949
5120,12288,8192,715.8279,514.1086,513.5839
5120,12288,13824,511.6064,491.2888,511.9276
5120,13312,640,452.0286,411.2768,440.1625
5120,13312,1280,573.9574,475.6033,460.4281
5120,13312,1728,671.0886,532.959,512.6909
5120,13312,2560,676.2909,524.6738,451.6674
5120,13312,3456,782.5652,592.8494,511.5043
5120,13312,5120,640.3048,548.6073,463.72
5120,13312,6912,600.1328,542.8339,477.7804
5120,13312,8192,720.4461,542.0368,478.008
5120,13312,13824,506.5637,532.8097,436.6913
5120,14336,640,439.03,416.514,446.047
5120,14336,1280,555.9314,487.1358,445.9589
5120,14336,1728,660.6029,547.0489,535.3951
5120,14336,2560,665.1498,548.5818,460.1679
5120,14336,3456,759.4955,609.1348,559.8789
5120,14336,5120,653.582,573.1939,548.1892
5120,14336,6912,570.0483,560.2351,622.4822
5120,14336,8192,703.2695,565.6033,595.7051
5120,14336,13824,496.179,559.6904,591.3724
5120,15360,640,447.3924,421.4122,412.7501
5120,15360,1280,550.0727,500.7079,494.8227
5120,15360,1728,686.3407,556.2897,530.2915
5120,15360,2560,634.0995,556.2234,545.8678
5120,15360,3456,783.2591,604.5904,562.8695
5120,15360,5120,660.0872,583.2925,546.0187
5120,15360,6912,584.4966,577.9689,534.9168
5120,15360,8192,723.8709,581.5264,519.4264
5120,15360,13824,521.4214,588.596,516.39
5120,16384,640,436.4804,391.255,384.0876
5120,16384,1280,538.2165,461.7086,554.1494
5120,16384,1728,664.9319,527.0479,602.8884
5120,16384,2560,599.0191,522.8253,609.7851
5120,16384,3456,731.1735,571.3885,549.3956
5120,16384,5120,600.6947,532.555,442.9479
5120,16384,6912,544.4325,518.1939,626.1221
5120,16384,8192,687.1948,519.4117,635.3875
5120,16384,13824,493.4643,511.2434,583.2681
6912,512,5120,203.5887,173.3522,290.221
6912,1024,5120,416.5378,316.6766,513.2942
6912,2048,5120,464.5998,500.6016,530.7085
6912,3072,5120,498.6989,397.9567,515.5555
6912,4096,5120,631.6128,510.1118,548.9585
6912,5120,5120,607.0149,594.9372,479.5661
6912,6144,5120,661.8956,499.8087,556.4758
6912,7168,5120,658.0324,532.6444,633.6663
6912,8192,5120,643.5301,570.2739,612.6346
6912,9216,5120,633.2992,531.4965,429.6843
6912,10240,5120,683.7507,544.4629,519.452
6912,11264,5120,618.0258,578.7189,554.5177
6912,12288,5120,579.8206,551.616,532.6273
6912,13312,5120,611.8237,567.6206,540.6653
6912,14336,5120,622.5068,577.8794,557.2031
6912,15360,5120,594.0785,561.9523,456.3785
6912,16384,5120,565.6786,573.6674,618.2763
7168,512,8192,294.7527,201.0086,456.6803
7168,1024,8192,572.6623,361.136,531.8101
7168,2048,8192,639.676,567.3463,604.7223
7168,3072,8192,674.35,439.0378,573.79
7168,4096,8192,825.1052,550.7961,641.2275
7168,5120,8192,793.2657,578.0055,619.129
7168,6144,8192,778.376,537.264,593.8881
7168,7168,8192,758.3906,553.2913,666.3178
7168,8192,8192,795.1014,603.3764,657.5198
7168,9216,8192,731.3052,573.0739,358.7514
7168,10240,8192,703.2695,579.8409,632.8014
7168,11264,8192,668.106,523.1335,574.0649
7168,12288,8192,703.9556,558.2033,576.0259
7168,13312,8192,679.7253,581.762,509.7303
7168,14336,8192,670.7678,540.2543,641.3489
7168,15360,8192,680.7118,561.6413,401.0753
7168,16384,8192,670.4339,566.3456,565.1221
7680,512,5120,223.6962,192.5967,389.4892
7680,1024,5120,529.8068,340.0876,480.0986
7680,2048,5120,547.8275,543.383,450.4289
7680,3072,5120,586.3881,432.0539,409.213
7680,4096,5120,585.6774,555.5663,584.0054
7680,5120,5120,691.844,623.9417,521.6314
7680,6144,5120,663.714,534.2079,576.9233
7680,7168,5120,663.9746,558.1332,584.6253
7680,8192,5120,619.4664,532.3621,627.2963
7680,9216,5120,641.3945,559.9767,525.1845
7680,10240,5120,629.1456,581.5113,545.5838
7680,11264,5120,628.2532,556.3694,446.769
7680,12288,5120,631.6128,576.6611,559.5345
7680,13312,5120,638.3526,550.3447,458.0959
7680,14336,5120,636.9655,571.1019,561.4461
7680,15360,5120,629.1456,585.8639,531.2862
7680,16384,5120,602.0982,561.623,460.2364
8192,512,1024,117.6703,152.2873,253.481
8192,512,2048,178.957,173.3241,299.7465
8192,512,3584,217.8607,195.7812,346.6114
8192,512,4096,260.301,205.355,359.3142
8192,512,7168,259.1791,212.508,393.7585
8192,512,8192,335.217,228.5944,427.2517
8192,512,14336,301.4012,210.7189,392.2183
8192,512,28672,264.0156,181.6379,354.6052
8192,640,640,104.8576,178.7142,267.8913
8192,640,2560,233.4221,221.3747,352.4539
8192,1024,1024,214.7484,283.9827,385.7968
8192,1024,2048,350.6096,314.8215,404.5843
8192,1024,3584,438.9018,344.312,479.6502
8192,1024,4096,505.2903,360.4254,499.9176
8192,1024,7168,564.5966,372.6581,529.5101
8192,1024,8192,636.2915,394.2733,541.6335
8192,1024,14336,532.1198,342.3393,535.5786
8192,1024,28672,530.9452,346.3924,458.4596
8192,2048,1024,386.0645,437.0579,406.2086
8192,2048,2048,461.2045,504.4246,406.4188
8192,2048,3584,592.4093,543.1912,501.6311
8192,2048,4096,600.1701,564.3367,446.461
8192,2048,7168,619.8922,588.2784,504.281
8192,2048,8192,727.1902,616.2507,516.5421
8192,2048,14336,530.3598,542.2508,410.1704
8192,2048,28672,520.0393,554.3597,397.8171
8192,2048,65536,432.0281,526.5943,407.2805
8192,3072,1024,381.7749,364.3062,359.1662
8192,3072,2048,525.9144,410.1182,469.3501
8192,3072,3584,583.782,446.448,486.0749
8192,3072,4096,660.7642,456.1547,421.1156
8192,3072,7168,652.4001,470.1166,440.7334
8192,3072,8192,752.403,476.7281,505.0689
8192,3072,14336,530.5548,442.2299,438.5868
8192,3072,28672,520.978,418.2394,403.1167
8192,4096,1024,419.0212,441.4445,399.7063
8192,4096,2048,554.1893,506.7401,389.281
8192,4096,3584,601.2954,561.3085,577.036
8192,4096,4096,694.1361,576.4323,586.1785
8192,4096,7168,604.317,554.2734,648.8892
8192,4096,8192,697.6597,548.5467,657.8871
8192,4096,14336,511.7408,542.9019,600.5961
8192,4096,28672,515.8567,546.0497,581.6868
8192,5120,640,360.316,361.9773,395.1366
8192,5120,1024,452.1018,393.6349,349.3076
8192,5120,2048,600.6947,437.89,387.2246
8192,5120,3584,616.0814,483.9627,532.5331
8192,5120,4096,714.3397,502.748,535.4849
8192,5120,7168,595.342,493.4297,609.9099
8192,5120,8192,711.3817,502.9916,643.4758
8192,5120,14336,509.5724,464.5788,552.4375
8192,5120,28672,511.7408,441.8687,542.1683
8192,6144,1024,481.6786,449.4467,368.2194
8192,6144,2048,622.8351,511.04,519.8352
8192,6144,3584,569.9483,561.7301,507.9359
8192,6144,4096,720.8337,559.7423,464.8249
8192,6144,7168,581.8988,546.0142,484.4513
8192,6144,8192,756.5447,559.8561,426.4787
8192,6144,14336,536.4718,541.6098,442.1126
8192,6144,28672,510.835,533.4646,444.3175
8192,7168,1024,546.6322,493.6759,457.9465
8192,7168,2048,699.1807,548.505,550.0104
8192,7168,3584,645.5626,583.4182,591.5524
8192,7168,4096,705.3319,568.5589,623.2673
8192,7168,7168,662.8453,600.2871,636.8621
8192,7168,8192,788.5842,609.888,650.3337
8192,7168,14336,588.6808,608.8033,607.0236
8192,7168,28672,591.7846,614.8965,596.1962
8192,8192,1024,530.6523,442.1649,499.1347
8192,8192,2048,639.2509,503.8012,610.5424
8192,8192,3584,588.7838,533.2457,632.1139
8192,8192,4096,696.7754,549.6338,637.8975
8192,8192,7168,650.0491,556.4248,655.8476
8192,8192,8192,774.304,572.535,665.4093
8192,8192,14336,560.9753,531.6377,591.9065
8192,8192,28672,595.7106,520.6591,582.3911
8192,8192,65536,523.577,529.3606,579.238
8192,9216,1024,554.1893,461.3857,389.894
8192,9216,2048,613.5668,526.6085,463.1661
8192,9216,3584,610.1081,566.6961,529.1599
8192,9216,4096,688.7253,571.9686,518.3052
8192,9216,7168,636.6657,590.6793,536.8542
8192,9216,8192,763.5497,602.6415,554.0745
8192,9216,14336,572.6623,583.9418,510.2578
8192,9216,28672,589.8266,591.9827,496.1195
8192,10240,1024,506.7808,431.7684,386.7938
8192,10240,2048,600.6947,492.6938,475.8205
8192,10240,3584,601.2954,523.9007,563.6598
8192,10240,4096,690.648,534.9552,548.0719
8192,10240,7168,629.6287,542.2179,661.2491
8192,10240,8192,755.1591,556.7216,660.8098
8192,10240,14336,564.5966,520.3096,596.2939
8192,10240,28672,576.0914,514.2081,592.6442
8192,11264,1024,498.6242,451.6727,385.9032
8192,11264,2048,626.7946,511.9136,426.278
8192,11264,3584,606.8119,555.8738,484.1515
8192,11264,4096,719.9183,563.6026,443.898
8192,11264,7168,618.1542,577.1456,460.145
8192,11264,8192,763.5497,582.6646,387.8087
8192,11264,14336,566.531,565.0608,408.4205
8192,11264,28672,575.1521,572.7299,410.2121
8192,12288,1024,482.8066,428.6626,387.7102
8192,12288,2048,623.7774,493.5639,400.1098
8192,12288,3584,606.3483,549.8523,550.9745
8192,12288,4096,717.0728,552.121,533.4275
8192,12288,7168,624.7225,546.189,560.2389
